datetime,Biomass,Coal,Gas,Gas-CC,Hydro,Nuclear,Other,Solar,WSL,Wind
2025-12-16 16:00:00,63.468215,5784.33283,3047.47889,14916.414403,1.263053,5107.686249,83.841706,8210.477478,-845.466801,15063.34032
2025-12-16 17:00:00,63.313095000000004,6568.52713,3745.120149,18347.161177,1.258162,5108.0173350000005,1571.3989569999999,1529.935586,-240.431947,15577.336895
2025-12-16 18:00:00,63.165354,6472.478545,3758.035326,18529.064548000002,0.217956,5107.244344,1920.751922,0.553806,-278.743995,17309.902845
2025-12-16 19:00:00,63.20632,6281.431167,3807.132263,18473.7645,0.0,5108.153616,1171.792747,0.060176,-123.664987,17731.555797
2025-12-16 20:00:00,63.207043999999996,6377.427533,3999.1698020000003,18665.81525,0.0,5108.321603,452.015041,0.000318,-140.243224,17742.53197
2025-12-16 21:00:00,63.262056,6261.952359,3912.512503,18112.180502,0.0,5107.945006,228.071597,0.000288,-233.901591,17839.590209
2025-12-16 22:00:00,63.282528,5526.324047,3847.582568,17539.985085,0.0,5108.541185,289.861097,0.00027,-503.710361,17271.419681
2025-12-16 23:00:00,63.325193,5280.948587,3956.183282,17082.327455,0.0,5107.538536,191.44625,0.000306,-762.919172,15686.697674
2025-12-17 00:00:00,63.357912,4971.484808,3428.322588,14814.367546,4.965215,5107.753757,123.782119,0.000318,-752.000529,16371.849199
2025-12-17 01:00:00,63.388353,5365.773047,3774.546817,16255.507736,0.0,5107.309088,208.03948300000002,0.00033,-721.948905,13066.300831
2025-12-17 02:00:00,63.420874,5538.17188,3931.631775,16229.628692,0.0,5107.437026,143.439593,0.00033,-765.487237,11680.884944000001
2025-12-17 03:00:00,63.445015999999995,5982.434198,4001.355523,16824.679948,0.0,5108.048852,244.71521,0.001726,-610.9472089999999,10262.183742000001
2025-12-17 04:00:00,63.440015,6304.905105,4394.450596,18105.879476000002,0.0,5107.543094,249.985992,0.0022849999999999997,-735.790862,8903.241088
2025-12-17 05:00:00,63.407849,6613.764902,4788.132229,19374.597235,27.422418,5107.15439,476.95165099999997,0.0007769999999999999,-533.987671,7369.012748
2025-12-17 06:00:00,62.647677,7083.151691,5073.3648,21029.181565,99.846295,5107.369318999999,1460.033004,0.010497,-180.379755,6415.303639
2025-12-17 07:00:00,61.847887,7553.881978,5598.37551,22039.202785,112.130967,5107.689292,2909.471492,4.678157,-128.32799599999998,5268.077107
2025-12-17 08:00:00,65.044681,7712.994779000001,5728.757688,22389.666121000002,29.589934,5108.831215,2294.943559,1821.2554,-293.986809,4116.668414
2025-12-17 09:00:00,63.388875,7686.139336,4941.941919,22373.921447,1.594784,5111.864466,513.137057,7774.783702999999,-1378.9333980000001,2963.983677
2025-12-17 10:00:00,63.865927,7261.556901,4774.1187,22432.279078,1.543199,5113.156564,561.228102,10201.666203,-1469.8178830000002,1502.088366
2025-12-17 11:00:00,63.579012,7043.257717,4489.563391,22234.827008,0.576553,5113.647631,489.921913,11363.637689,-1552.03305,1149.675904
2025-12-17 12:00:00,63.602186,6936.791168,4230.975978,21686.782201,0.0,5111.942069000001,277.111212,11939.105318,-1728.504635,1542.952414
2025-12-17 13:00:00,63.720914,6794.926893,3680.206515,20450.566058,0.0,5107.877496,246.85646,12086.343433,-1558.98655,2594.927448
2025-12-17 14:00:00,63.354092,6190.534044,3551.178654,19286.886797,0.0,5106.069519,270.239656,11440.389963,-1873.387413,4956.805839000001
2025-12-17 15:00:00,63.283679,6065.813862999999,3431.971793,18874.627485,0.0,5107.178807,256.589848,10500.074499,-1644.4083369999998,6177.459553000001
2025-12-17 16:00:00,63.319792,6519.182524,3462.2761060000003,19426.138061999998,15.110990000000001,5105.511233,385.436359,7903.878409,-954.692918,7132.707419
2025-12-17 17:00:00,63.349719,6773.373844,4408.737508,20553.687995,19.925362,5104.345721,1856.630989,1715.716232,-298.19991,9075.852640000001
2025-12-17 18:00:00,63.319422,6266.781046,4384.626387,19444.543777,19.699887,5102.56292,1792.770824,1.293081,-415.746172,13201.978673
2025-12-17 19:00:00,63.462685,5363.563311,3734.430648,17142.756882,19.851918,5105.095434,994.9785770000001,0.013052,-393.665578,18231.190265
2025-12-17 20:00:00,63.331099,4964.69877,3442.567939,16608.224637,19.899157000000002,5107.364525,422.677568,0.0016229999999999999,-211.36292600000002,19753.530321
2025-12-17 21:00:00,63.431781,4674.2512289999995,3126.026339,14959.432617,19.87358,5107.131123,274.310839,0.001117,-500.841821,21770.028342999998
2025-12-17 22:00:00,63.400236,4495.588974,2764.3604880000003,13291.166167,19.926274,5107.6254420000005,153.352341,0.00035999999999999997,-549.559636,22730.501709
2025-12-17 23:00:00,63.308666,4381.97756,2405.63727,11399.213682,19.899293,5107.470611,95.376571,0.000306,-723.198618,22862.236706
2025-12-18 00:00:00,76.075724,4601.038048,3196.237258,11722.001045,6.9814940000000005,5107.8678820000005,357.80996700000003,0.000288,-602.045244,19703.739916
2025-12-18 01:00:00,63.286732,4063.2971460000003,2034.327604,9386.188864,1.452182,5107.727678,232.180017,0.007449,-570.159042,22165.937593000002
2025-12-18 02:00:00,63.318335000000005,4007.294231,2125.882786,9282.12459,1.236974,5111.783866,42.897318999999996,0.000294,-750.130008,21779.944026999998
2025-12-18 03:00:00,63.386435999999996,4054.3294579999997,2150.102195,9233.451254,1.231676,5113.515362,62.488503,0.0007890000000000001,-585.830999,21353.245302
2025-12-18 04:00:00,63.459361,4304.826693999999,2187.097562,9638.087559,0.377788,5110.599022,196.986369,0.000288,-303.160233,20862.625380999998
