episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
28,829900383.5585651,0.6696,0.6696,1317642681.112435,0.7089,0.7089,3983344467.742335,0.6768,0.6768,4626532189.548796,0.6622,0.6622,1770663589.3201435,0.6674,0.6674,907866203.619942,0.646,0.646,1089222115.2244492,0.6661,0.6661,8649940587.189646,-0.0,7073385052.214062,0.4312
29,757738806.7781264,0.6775,0.6775,1208764175.8987505,0.7137,0.7137,3719050599.3511105,0.6831,0.6831,4265358928.4928355,0.6649,0.6649,1674980358.905225,0.672,0.672,821771739.0206437,0.6512,0.6512,1011612813.4347566,0.6696,0.6696,7911257325.169801,-0.0,6440727966.709143,0.4312
30,660322928.3333701,0.6709,0.6709,1063598836.4969366,0.7167,0.7167,3241629240.772306,0.6853,0.6853,3715022921.4679127,0.6711,0.6711,1453634024.7686627,0.6715,0.6715,705258251.127904,0.6515,0.6515,890830303.0082682,0.673,0.673,6888558497.795624,-0.0,5548399445.673046,0.4312
31,459106190.16036063,0.6866,0.6866,763858702.1744328,0.7275,0.7275,2385971601.9895544,0.7005,0.7005,2836170102.2610044,0.6797,0.6797,1056349576.3349527,0.6759,0.6759,500759182.7725507,0.6706,0.6706,637071353.1660149,0.6831,0.6831,5067530526.315341,-0.0,4119838998.804204,0.4312
32,208340379.4096091,0.6876,0.6876,379001157.6710541,0.7292,0.7292,1375993166.5412302,0.7033,0.7033,1719306567.71108,0.6824,0.6824,585061120.5493919,0.6752,0.6752,255550277.28861225,0.6729,0.6729,337535198.40578246,0.6881,0.6881,2781334256.880696,-0.0,2333182673.8420873,0.4316
33,77888680.46186006,0.6901,0.6901,169319378.24761674,0.7285,0.7285,567135259.0754225,0.7033,0.7033,718022816.4447752,0.6821,0.6821,268916019.07811034,0.6781,0.6781,104733549.76708522,0.6745,0.6745,176836148.56150725,0.6899,0.6899,1163236732.3825092,-0.0,922649360.6398885,0.4317
34,27734527.15884646,0.6914,0.6914,26775908.087083496,0.73,0.73,48200432.81331073,0.7093,0.7093,76934702.93718562,0.6815,0.6815,47675109.59702767,0.6804,0.6804,20717338.405093133,0.6796,0.6796,36743130.477913186,0.6915,0.6915,141164886.18055075,-0.0,151097850.48416373,0.4316
35,28753416.44548644,0.6953,0.6953,24094343.39205245,0.7345,0.7345,31765513.51908044,0.7117,0.7117,32410056.38430418,0.6796,0.6796,36210793.511177905,0.683,0.683,27156342.363918636,0.6848,0.6848,34676128.664820366,0.6965,0.6965,83650217.58130325,-0.0,102134908.43067631,0.4312
36,325196396.5601593,0.694,0.694,201269870.16056332,0.7333,0.7333,195206261.53117627,0.7102,0.7102,252829703.68845466,0.6763,0.6763,276202682.3295442,0.6802,0.6802,281873687.1823715,0.6881,0.6881,329348437.0690833,0.6976,0.6976,851786086.9092451,-0.0,888393246.0000237,0.4312
37,770787477.57391,0.7162,0.7162,553841953.2766947,0.7563,0.7563,774493158.0972304,0.7375,0.7375,1177771917.7084806,0.6983,0.6983,871943333.158709,0.6948,0.6948,810008647.0573853,0.7118,0.7118,880862031.9287027,0.7155,0.7155,2735998671.618597,-0.0,2470765486.802827,0.4312
38,1234766979.2132108,0.7248,0.7248,984288993.8387396,0.7628,0.7628,1647248844.9052184,0.7506,0.7506,2459902662.129722,0.708,0.708,1594586974.2075434,0.6986,0.6986,1378162943.2835546,0.722,0.722,1542978028.4475179,0.7255,0.7255,5143306218.8312845,-0.0,4119569789.3429737,0.4312
39,1652608126.740077,0.7254,0.7254,1376758823.6420124,0.7643,0.7643,2452373827.3001413,0.7574,0.7574,3784679357.9642997,0.7093,0.7093,2175983557.6972857,0.6946,0.6946,1942431008.651485,0.7327,0.7327,2204899989.7258124,0.7292,0.7292,7528323156.556798,-0.0,5790677071.796093,0.4316
40,2045109019.5773113,0.7218,0.7218,1761801640.0476115,0.7637,0.7637,3237397472.992999,0.7551,0.7551,5074564227.191738,0.7,0.7,2825094822.974324,0.6898,0.6898,2425599778.0373354,0.7293,0.7293,2795073287.787481,0.7292,0.7292,9859426312.763985,-0.0,7277426880.66688,0.4317
41,2243691936.3667545,0.7253,0.7253,1965654546.0424037,0.7628,0.7628,3829687006.765163,0.7541,0.7541,6012214782.910492,0.7027,0.7027,3238586215.324889,0.6873,0.6873,2763972828.597114,0.7276,0.7276,3141763625.670268,0.7264,0.7264,11353407784.743258,-0.0,8240989251.910397,0.4316
42,2321432075.667758,0.7246,0.7246,2052764843.0181143,0.76,0.76,4185004292.1379294,0.7528,0.7528,6694491050.198055,0.7066,0.7066,3493906819.916308,0.6841,0.6841,2959679479.9661055,0.7219,0.7219,3278685461.1687613,0.7206,0.7206,12353205402.045729,-0.0,8785729090.985476,0.4312
43,2331281407.1630363,0.7131,0.7131,2059750969.5607464,0.747,0.747,4279533704.6183825,0.7422,0.7422,6928950343.640662,0.6992,0.6992,3523755552.4240217,0.6812,0.6812,3006404692.686494,0.7079,0.7079,3267431299.263965,0.7134,0.7134,12700771800.90164,-0.0,8861556684.73679,0.4312
44,2163720835.0796003,0.7159,0.7159,1908468160.824206,0.748,0.748,4096817378.113655,0.7436,0.7436,6783749604.015257,0.6984,0.6984,3315662201.0932064,0.6806,0.6806,2841583406.2718225,0.7115,0.7115,3129600374.0696073,0.7117,0.7117,12118200276.54834,-0.0,8422538999.04415,0.4312
45,1885207319.1914103,0.7072,0.7072,1689866728.3054452,0.7436,0.7436,3793577775.8576384,0.7363,0.7363,6329245134.939356,0.6988,0.6988,2967528488.1978197,0.675,0.675,2553402270.069538,0.6995,0.6995,2789974303.9076977,0.7007,0.7007,11097906440.025032,-0.0,7526055342.413121,0.4312
46,1568381034.9580514,0.7068,0.7068,1448904009.6360316,0.745,0.745,3381478597.7935534,0.7375,0.7375,5633979494.518574,0.7035,0.7035,2542988555.3815722,0.6782,0.6782,2201427018.9016156,0.7041,0.7041,2418946729.8569274,0.6989,0.6989,9726958574.871763,-0.0,6480152003.814619,0.4316
47,1149836445.229938,0.7064,0.7064,1098007332.7916255,0.7458,0.7458,2708185518.4478154,0.7355,0.7355,4520575262.417868,0.6999,0.6999,1948164128.1750224,0.676,0.676,1664335519.9537904,0.7035,0.7035,1830471027.6793323,0.702,0.702,7601680533.479272,-0.0,5012909430.272509,0.4317
48,686624419.6255584,0.7066,0.7066,705797965.5990536,0.7478,0.7478,1885692296.8460224,0.7343,0.7343,3200538696.953946,0.6995,0.6995,1261303080.5625453,0.671,0.671,1056624014.1029556,0.7032,0.7032,1085086314.1891758,0.6957,0.6957,5009475629.734428,-0.0,3107367295.490894,0.4316
49,119388011.50439358,0.702,0.702,203010822.36642197,0.7434,0.7434,825858091.3878808,0.7314,0.7314,1498735406.6305988,0.6991,0.6991,415203801.0933398,0.6686,0.6686,324203334.4421188,0.7033,0.7033,306851655.5956954,0.6942,0.6942,1848767605.7097936,-0.0,830343903.8247885,0.4312
50,284555363.65715873,0.6987,0.6987,136301902.50948736,0.7422,0.7422,277901441.5363633,0.7329,0.7329,508321609.6770777,0.7043,0.7043,224095742.2625866,0.6663,0.6663,215077481.87914944,0.6988,0.6988,236316674.4470113,0.6902,0.6902,1061581468.6460812,-0.0,731507815.3286866,0.4312
51,601112699.9814858,0.6903,0.6903,319912247.4587635,0.7395,0.7395,431180870.9528266,0.7252,0.7252,687799768.2515507,0.6936,0.6936,465130269.7844906,0.6534,0.6534,441849129.91514206,0.6922,0.6922,517850294.5247311,0.6884,0.6884,1852257018.8149173,-0.0,1649753153.3086066,0.4312
52,849332030.0809435,0.6923,0.6923,525155646.87167835,0.7286,0.7286,856299625.0877445,0.7147,0.7147,1406909670.4098265,0.6889,0.6889,778346471.2002152,0.6464,0.6464,762692031.3022753,0.6858,0.6858,796392811.7157788,0.6855,0.6855,3064524794.434397,-0.0,2738394310.0303826,0.4312
53,1043050089.3719208,0.6874,0.6874,703959998.1360779,0.7246,0.7246,1284812613.5771463,0.7126,0.7126,2176060936.9797544,0.6805,0.6805,1089206370.8919597,0.6423,0.6423,1046456637.3658016,0.6835,0.6835,1057350910.9481317,0.6832,0.6832,4316807873.085379,-0.0,3668696507.137456,0.4316
54,1132084285.359037,0.6886,0.6886,770044632.0491545,0.7225,0.7225,1520037825.7686217,0.7068,0.7068,2762788156.0938087,0.6766,0.6766,1259371560.6077075,0.6444,0.6444,1206406989.7618499,0.6803,0.6803,1149815800.8050973,0.6807,0.6807,4828600417.802451,-0.0,4191831341.854976,0.4317
55,1196302676.0294292,0.6963,0.6963,811416593.4696176,0.7293,0.7293,1710702052.3541386,0.7145,0.7145,3278815463.248057,0.6842,0.6842,1374280457.0131915,0.6486,0.6486,1319077508.3808026,0.6863,0.6863,1227394436.6665056,0.6901,0.6901,5323632027.7903185,-0.0,4526171506.952631,0.4316
56,1211460379.459646,0.6979,0.6979,834660401.3786191,0.7315,0.7315,1812925853.1571581,0.7143,0.7143,3540051300.990819,0.6876,0.6876,1396051724.634714,0.6545,0.6545,1359969416.5403492,0.6833,0.6833,1251444993.050396,0.6935,0.6935,5444689651.7934885,-0.0,4664331383.584931,0.4312
57,1144342334.9600575,0.7009,0.7009,798999024.2549374,0.7373,0.7373,1813751725.781333,0.72,0.72,3594486595.2277517,0.6937,0.6937,1343626770.323949,0.659,0.659,1333031572.1491473,0.6892,0.6892,1215922685.7764368,0.6958,0.6958,5291669342.727935,-0.0,4538284452.401684,0.4312
58,1061825267.224204,0.7068,0.7068,748992969.24281,0.7387,0.7387,1739023247.7794814,0.7265,0.7265,3497533148.4799724,0.7003,0.7003,1287289583.7395592,0.6585,0.6585,1265187418.8155777,0.6943,0.6943,1144590383.7740176,0.7038,0.7038,5040687797.838939,-0.0,4250680336.2399907,0.4312
59,938974049.4477576,0.7091,0.7091,684774931.2171682,0.7359,0.7359,1592090845.6840644,0.7285,0.7285,3228473954.812024,0.7044,0.7044,1188147453.9223387,0.6605,0.6605,1165493169.3187184,0.6945,0.6945,1041907646.0777024,0.7073,0.7073,4502616937.479539,-0.0,3888443277.863784,0.4312
60,792057605.9745786,0.6991,0.6991,570449572.8916115,0.7302,0.7302,1387760075.9873326,0.7258,0.7258,2767733308.6237965,0.6972,0.6972,986182203.8330072,0.6578,0.6578,981354486.9759991,0.6879,0.6879,887086464.8780673,0.7031,0.7031,3792269925.529284,-0.0,3240571039.362759,0.4316
61,593660874.8191775,0.6967,0.6967,470467158.5004955,0.7328,0.7328,1140512993.8293865,0.7328,0.7328,2159965546.1419215,0.6993,0.6993,753653814.1719666,0.6563,0.6563,774762430.9961883,0.6922,0.6922,688883853.7582233,0.7051,0.7051,2982903074.158865,-0.0,2396664118.2863684,0.4317
