episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_3_greedy_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_4_greedy_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_5_greedy_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy,agent_RL_Agent_6_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
160,59778565.18019193,0.6699,0.6699,132528429.8754753,0.725,0.725,142577249.98684815,0.6944,0.6944,123123718.13008665,0.6507,0.6507,60449201.85095426,0.6491,0.6491,48944703.193844035,0.6881,0.6881,113055855.73460196,0.6715,0.6715,263018748.03660053,-0.0,148400222.73078647,0.4316
161,65321268.782300085,0.6705,0.6705,127641948.10015963,0.7208,0.7208,134093327.0684588,0.6915,0.6915,143668310.31859916,0.6454,0.6454,70912051.84870997,0.6468,0.6468,59048969.9210412,0.6782,0.6782,133287905.84817058,0.6697,0.6697,232996544.65672,-0.0,128232491.94997351,0.4312
162,85332382.76064995,0.6654,0.6654,122216312.01469356,0.716,0.716,139446920.84814906,0.6945,0.6945,166847151.17717126,0.6397,0.6397,115058232.57600453,0.6502,0.6502,78337082.41250218,0.6834,0.6834,158908816.430115,0.6717,0.6717,272226113.0620426,-0.0,139171115.54010984,0.4312
163,98904060.42928876,0.6612,0.6612,130413645.30994624,0.7071,0.7071,154276551.93964726,0.6934,0.6934,202136011.05018842,0.6282,0.6282,132683121.5643011,0.6437,0.6437,103587777.91498607,0.6793,0.6793,173748383.258537,0.6748,0.6748,317616542.005437,-0.0,171869152.89260095,0.4312
164,119124801.73863769,0.6599,0.6599,134277433.7551573,0.7078,0.7078,159799196.48864684,0.69,0.69,237728363.03321788,0.6307,0.6307,146338595.8441744,0.6414,0.6414,122379802.90109858,0.6795,0.6795,178766546.64873612,0.6742,0.6742,309463139.3554701,-0.0,195484194.12176564,0.4312
165,132925612.37902376,0.6605,0.6605,143639184.03944057,0.7063,0.7063,164328824.73332274,0.688,0.688,267119407.97397926,0.6277,0.6277,153702506.59171572,0.6427,0.6427,131626778.22860193,0.6784,0.6784,199378770.80089188,0.6734,0.6734,346092821.4754868,-0.0,223861059.5541286,0.4316
166,133172712.05288266,0.6609,0.6609,141781361.0437345,0.7037,0.7037,166362265.2847759,0.686,0.686,308122162.9748634,0.6226,0.6226,159195190.29326788,0.6422,0.6422,143838875.0672555,0.6753,0.6753,193735424.92443135,0.6711,0.6711,340057410.6000503,-0.0,201690366.54089084,0.4317
167,118762244.12154914,0.649,0.649,125684255.07154013,0.6997,0.6997,154668829.33828813,0.67,0.67,325219107.746406,0.6097,0.6097,147788513.915503,0.6337,0.6337,140519077.65417048,0.665,0.665,164195413.55015805,0.6606,0.6606,323444882.16571695,-0.0,178277507.51476082,0.4316
168,103147138.53970711,0.6596,0.6596,102068870.57762483,0.7158,0.7158,130445169.31679082,0.6756,0.6756,269151117.29973537,0.6265,0.6265,128102754.01949951,0.6392,0.6392,125663967.65001033,0.6716,0.6716,135239852.06871483,0.6617,0.6617,251467236.25037163,-0.0,162323994.8192213,0.4312
169,89000158.54859453,0.6616,0.6616,90843796.46998337,0.721,0.721,120179186.33441764,0.6817,0.6817,237186606.07559144,0.6327,0.6327,114097995.11448233,0.6443,0.6443,106881012.5872071,0.6798,0.6798,119035218.08953688,0.668,0.668,210125445.0830339,-0.0,134543616.99960306,0.4312
170,80276799.41304466,0.6636,0.6636,80299103.59347822,0.7195,0.7195,99615487.9291077,0.6822,0.6822,185025981.3445117,0.6309,0.6309,96627901.97609915,0.6452,0.6452,80750661.71962386,0.6789,0.6789,91654272.61999498,0.6685,0.6685,170970592.41604182,-0.0,123646594.96730724,0.4312
171,55903096.38140629,0.6661,0.6661,67123887.36554374,0.7196,0.7196,72876854.92176901,0.6812,0.6812,127397811.69486052,0.6318,0.6318,72876499.95811377,0.6447,0.6447,52518626.16593023,0.6778,0.6778,72682247.14529386,0.668,0.668,112713455.64407475,-0.0,104919055.00591128,0.4312
172,37463114.47113364,0.6628,0.6628,57728900.38473929,0.7161,0.7161,64889290.44249727,0.6775,0.6775,76041768.1076075,0.6286,0.6286,49214919.276501976,0.6462,0.6462,36167886.72534825,0.679,0.679,50463912.19869089,0.6668,0.6668,75707252.54048406,-0.0,104289071.99635506,0.4316
173,37807076.551934905,0.6664,0.6664,61040384.080569014,0.7177,0.7177,71906542.65466094,0.6779,0.6779,53006714.5358213,0.6314,0.6314,51496587.97463787,0.6458,0.6458,29299467.060092207,0.6777,0.6777,47913262.10765541,0.6693,0.6693,68763953.76266457,-0.0,111952602.65083817,0.4317
174,39535926.61491776,0.665,0.665,66143561.838428214,0.7211,0.7211,76960712.40596591,0.6779,0.6779,43556726.516758986,0.6383,0.6383,55803028.26372322,0.646,0.646,30093664.161758903,0.681,0.681,51560479.61905524,0.6665,0.6665,61433296.80081658,-0.0,140056020.88008642,0.4316
175,41043834.11791193,0.6662,0.6662,66753603.8049515,0.7172,0.7172,80053433.35387994,0.679,0.679,38106819.688705474,0.6389,0.6389,56047828.92068575,0.651,0.651,28199587.359967805,0.6864,0.6864,52449199.456833474,0.6681,0.6681,58783188.06281197,-0.0,147440497.96646732,0.4312
176,42055230.31195727,0.662,0.662,66055752.474007525,0.7158,0.7158,76764968.3299469,0.6779,0.6779,40466352.045758635,0.6395,0.6395,48761970.07060837,0.6514,0.6514,28919876.109831467,0.6864,0.6864,48374200.81614988,0.6661,0.6661,54946594.0947353,-0.0,143773046.96806777,0.4312
177,37577949.67554599,0.6616,0.6616,55769360.75768724,0.7156,0.7156,56317652.46040439,0.6773,0.6773,39370645.00238759,0.6505,0.6505,39949552.79680716,0.6558,0.6558,27392398.21255466,0.6843,0.6843,42503929.505454764,0.6672,0.6672,39067527.15737907,-0.0,117411503.44419307,0.4312
178,33705083.17479484,0.6706,0.6706,50706351.51585837,0.7203,0.7203,43219106.755680546,0.6835,0.6835,37720945.707147546,0.6527,0.6527,35839452.47769921,0.6569,0.6569,26815241.06066024,0.6855,0.6855,45112080.588799074,0.6728,0.6728,47488970.41668541,-0.0,122642810.00859457,0.4312
179,27001454.061269287,0.6694,0.6694,41805985.7307193,0.7203,0.7203,29631576.751562893,0.6856,0.6856,35881588.75876469,0.6585,0.6585,31723284.37386924,0.6593,0.6593,28762094.538250662,0.6828,0.6828,38501760.663577184,0.6739,0.6739,46884860.4467553,-0.0,97727072.74083607,0.4316
180,12624659.356863886,0.6658,0.6658,16856766.676342253,0.715,0.715,10945774.620998584,0.6832,0.6832,21965018.12399642,0.6583,0.6583,11010374.353150738,0.6598,0.6598,18183532.72244254,0.6792,0.6792,13865873.355213318,0.6662,0.6662,30514801.177966937,-0.0,62701274.78681515,0.4317
181,9093692.526005754,0.6594,0.6594,15092631.422661064,0.7147,0.7147,11194062.982881725,0.689,0.689,5490637.2292971825,0.6644,0.6644,5688025.795915644,0.6612,0.6612,17569947.26719202,0.6804,0.6804,8799332.902343603,0.6657,0.6657,26165549.992040142,-0.0,60583895.81093753,0.4316
182,17237820.363273367,0.6572,0.6572,28218563.72436972,0.7079,0.7079,25131756.96155302,0.687,0.687,18886630.81625617,0.6627,0.6627,9752083.32839485,0.6584,0.6584,22223222.35674188,0.6749,0.6749,11631501.236310216,0.6618,0.6618,38481599.142211676,-0.0,59444099.687666245,0.4312
183,24353690.292032123,0.6515,0.6515,38313379.41594748,0.6967,0.6967,34957356.697395615,0.6755,0.6755,29871129.908166204,0.6584,0.6584,12837685.840746757,0.6554,0.6554,27744827.70156077,0.6637,0.6637,11595328.770893138,0.6481,0.6481,48222257.48463074,-0.0,51316460.06014779,0.4312
184,25303588.052263696,0.6529,0.6529,39832135.71070714,0.6987,0.6987,34886248.69003563,0.6777,0.6777,31178405.194436833,0.6592,0.6592,12862668.752586165,0.656,0.656,28000820.013034765,0.6699,0.6699,12943123.394863475,0.6548,0.6548,47880591.853529446,-0.0,41620558.82864433,0.4312
185,26408876.95717662,0.6548,0.6548,42345545.50737994,0.7003,0.7003,35484841.7969583,0.6887,0.6887,31058989.190466825,0.6613,0.6613,11969302.33339896,0.659,0.659,28027401.862769846,0.6798,0.6798,15587957.780215086,0.6667,0.6667,54902137.081230074,-0.0,34368256.18649387,0.4312
186,30307778.228375908,0.6582,0.6582,44292964.06180907,0.7063,0.7063,36351889.47380941,0.6926,0.6926,27222403.090571478,0.6638,0.6638,18328558.460795328,0.6591,0.6591,24583733.62556757,0.6819,0.6819,15503210.088305883,0.6711,0.6711,53920596.909082256,-0.0,45783529.19294834,0.4316
187,29397285.747129865,0.6586,0.6586,41886304.95987936,0.7047,0.7047,35756843.847056314,0.6914,0.6914,27042561.394209597,0.6583,0.6583,18913290.718581386,0.661,0.661,24411113.899579205,0.6851,0.6851,16919541.400690902,0.6744,0.6744,59806243.219366305,-0.0,47705165.15967408,0.4317
188,29449800.821108326,0.6554,0.6554,38160183.79139719,0.6981,0.6981,33226175.562545612,0.6876,0.6876,26061216.53115674,0.6523,0.6523,22220715.60798478,0.6588,0.6588,23656815.03217353,0.6869,0.6869,16673118.042235821,0.6692,0.6692,60910073.41826863,-0.0,68348944.02337718,0.4316
189,30853558.48872853,0.6538,0.6538,41285333.18537737,0.7021,0.7021,33046783.850446146,0.6868,0.6868,26498853.462600604,0.6535,0.6535,27377975.88950067,0.6574,0.6574,23960309.79178363,0.6897,0.6897,16574694.067628743,0.6682,0.6682,58560440.80465397,-0.0,84802893.28127617,0.4312
190,27783150.375352636,0.6535,0.6535,30805377.30794726,0.6986,0.6986,28447255.87185611,0.6844,0.6844,24143612.97604567,0.6525,0.6525,29885637.166316815,0.6542,0.6542,23407351.98213464,0.6879,0.6879,16252128.369850386,0.664,0.664,58350274.13412482,-0.0,86388436.64534225,0.4312
191,31258077.611519136,0.6602,0.6602,62466101.64510587,0.7064,0.7064,60108669.367053196,0.6868,0.6868,46378300.48536355,0.6572,0.6572,39194876.25377752,0.6536,0.6536,39914699.13700395,0.6982,0.6982,29110066.489066355,0.6722,0.6722,124268658.38266556,-0.0,102606650.85529478,0.4312
192,47058009.54290533,0.657,0.657,108510563.00186414,0.7091,0.7091,126559792.30504611,0.691,0.691,111817426.49960162,0.6641,0.6641,52391753.22248636,0.659,0.659,82222964.28470232,0.7057,0.7057,49369343.47376946,0.6727,0.6727,195166558.94202173,-0.0,113059825.69285057,0.4312
193,59657844.8935024,0.6555,0.6555,139581206.24430403,0.7075,0.7075,164639354.85959613,0.6941,0.6941,153964297.82047474,0.6561,0.6561,59418245.09816968,0.6565,0.6565,100811598.20273447,0.7091,0.7091,56641364.01449461,0.6722,0.6722,225506250.86194322,-0.0,112796714.64773323,0.4316
194,63506905.66820073,0.65,0.65,143565012.9123481,0.7075,0.7075,176542024.9660417,0.6946,0.6946,181503338.53047508,0.6548,0.6548,57957551.81408779,0.6538,0.6538,110775645.75949481,0.7094,0.7094,58032979.739673704,0.6763,0.6763,272918252.2622885,-0.0,105493336.71216634,0.4317
195,64595597.755665064,0.6495,0.6495,141811522.562141,0.6977,0.6977,173904999.2048909,0.6875,0.6875,186557204.7981383,0.6474,0.6474,57910360.27434623,0.648,0.648,106378359.17637156,0.7055,0.7055,55749131.93541933,0.6731,0.6731,277109933.66373885,-0.0,95931149.10859972,0.4316
196,61105314.53479867,0.6434,0.6434,133301320.81821471,0.6934,0.6934,153606565.48398295,0.6841,0.6841,173050583.47997615,0.645,0.645,56355207.311188,0.6445,0.6445,92368038.2601837,0.7067,0.7067,51761167.96455145,0.6731,0.6731,241659770.20343307,-0.0,100340311.0281911,0.4312
197,60581246.06089489,0.6381,0.6381,130606568.78839193,0.6926,0.6926,143213995.3210295,0.6808,0.6808,143757370.25048086,0.641,0.641,70806788.82781908,0.6418,0.6418,81662350.50138257,0.7055,0.7055,65872273.7500945,0.6679,0.6679,203679203.25651222,-0.0,105672587.69306135,0.4312
198,73814586.79464306,0.6379,0.6379,157625887.28653905,0.6869,0.6869,164191289.65970734,0.6809,0.6809,145751087.6882879,0.6409,0.6409,93910650.05212723,0.6397,0.6397,103432760.6322427,0.7057,0.7057,129864076.45223477,0.6661,0.6661,208864258.04163313,-0.0,123328352.64427035,0.4312
199,83032892.21930867,0.6433,0.6433,198483609.83148968,0.7001,0.7001,199056538.2880282,0.6826,0.6826,168522070.513041,0.6495,0.6495,121749374.34782495,0.6442,0.6442,132105389.4312128,0.7065,0.7065,192655425.9935734,0.6683,0.6683,237427033.01945475,-0.0,119976847.18929988,0.4312
