episode,profit,profit_variance,risk_adjusted_variance,steps
61,63864.21633563188,64321.703163023885,1.0071634297519234,335
62,60334.714555903665,60478.20311807515,1.0023782090164446,335
63,59148.88544508234,67342.07772484596,1.138518117765031,335
64,72333.36367556924,74721.34337087232,1.0330135303261072,335
65,71176.56729757576,94265.12950421094,1.3243843175253596,335
66,131380.51297591184,1215877.196655673,9.254623605241267,335
67,448252.76563306677,33737513.91559817,75.2644858040083,335
68,1837056.6069842335,447482053.2166776,243.58642597915093,335
69,5407594.157009775,2243306071.2516003,414.84364508820164,335
70,10157960.778655045,5308100592.185213,522.5557282460803,335
71,13638707.00691007,7159190490.20158,524.9170970953743,335
72,18979225.723279722,9187724031.894022,484.09372257080275,335
73,21159866.195428066,9322453777.790958,440.57243517944465,335
74,23462241.672176555,10930809913.381863,465.88940929478645,335
75,22991622.005157378,10715000500.475376,466.03934677039445,335
76,20672839.040378157,9282132131.750294,449.0013255373605,335
77,24310455.59301714,12150362561.888216,499.79987069342474,335
78,23979627.332387246,11014297058.086096,459.31894209256603,335
79,24929700.33050791,11844728677.478388,475.12519286015265,335
80,21051047.082162607,9460727828.584515,449.41839670298214,335
81,21132306.27626005,9853153071.797836,466.2601867959308,335
82,20548179.210279435,10517249104.657532,511.8336275457519,335
83,16265675.413396949,8721791609.702065,536.2083890176797,335
84,12033218.937676752,7325894335.963962,608.8058709732379,335
85,8522176.94232174,6024092413.292779,706.8724874012764,335
86,5869535.827325331,4731990774.034765,806.1950575384872,335
87,465343.5951227743,94969989.29255222,204.08573425727218,335
88,62917.42367684052,92562.64277283878,1.4711766210938444,335
89,65084.49702758362,89295.82908665847,1.3719984507032463,335
90,60828.245776437296,85357.19500532222,1.4032493279359461,335
91,54257.67197207459,87865.47781092906,1.6194111287365147,335
92,46542.91980711381,111162.83895227831,2.388394183539466,335
93,44471.05411446395,104521.43804395493,2.3503251749981895,335
94,35718.53010166273,97879.37688313013,2.7402968880442917,335
95,32830.659446088895,92667.83961286672,2.8226006171154747,335
96,34824.44934902438,96459.78917887162,2.7698869898009257,335
97,33499.26739151809,91422.977582006,2.729103789449638,335
98,31926.025474985585,95242.27921728688,2.9832175411837745,335
99,21987.017543828377,85806.62873260221,3.9026042782527632,335
100,18127.403794163016,88601.31419034337,4.887700147046094,335
101,20103.32178354103,90240.12632926519,4.488816689145453,335
102,17652.21114382968,62697.52163526127,3.551822552107962,335
103,14803.429359269649,63617.97049145345,4.297515727433388,335
104,13072.031251222974,60888.99039791947,4.657959365892452,335
