Power_Plant_ID,plant_name,fuel_type,capacity,capacity_factor_2025
Other_62562,"High Lonesome Wind Power, LLC Hybrid",Other,562.8,0.2567
Wind_62562,"High Lonesome Wind Power, LLC Hybrid",Wind,562.8,0.2567
Wind_62566,Blue Summit III Wind,Wind,200.2,0.4265
Wind_62587,Mesquite Star,Wind,418.9,0.3134
Wind_62618,Hidalgo Wind Farm II,Wind,50.4,0.3461
Wind_62620,Sage Draw Wind,Wind,338.4,0.3885
Wind_62630,Jumbo Hill Wind Project,Wind,160.7,0.4254
Wind_62715,Wildcat Creek Wind Farm LLC,Wind,175.3,0.2911
Solar_62755,Prospero Solar,Solar,300.0,0.2889
Wind_62765,El Campo Wind,Wind,242.8,0.3948
Solar_62772,Coniglio Solar,Solar,123.6,0.19
Solar_62773,"BT Cooke Solar, LLC",Solar,59.0,0.2371
Solar_62774,Kellam Solar,Solar,59.0,0.214
Wind_62783,Blackjack Creek Wind Farm,Wind,239.6,0.2646
Solar_62804,Greasewood Solar,Solar,255.0,0.1828
Wind_62809,BMP Wind (TX),Wind,340.0,0.2922
Wind_62836,Maryneal Windpower,Wind,182.4,0.3411
Solar_62845,ENGIE Long Draw Solar LLC,Solar,225.0,0.2635
Wind_62853,Maverick Creek Wind,Wind,491.6,0.3612
Wind_62855,West Raymond Wind Farm LLC,Wind,239.8,0.3626
Wind_62909,"Raymond Wind Farm, LLC",Wind,200.2,0.3856
Solar_62932,Oberon IB,Solar,30.0,0.2357
Solar_62933,Oberon IA,Solar,150.0,0.2304
Solar_62945,Fighting Jays Solar Project,Solar,227.5,0.2279
Wind_63030,"Canadian Breaks, LLC",Wind,210.1,0.4109
Wind_63100,Prairie Hill Wind Project,Wind,300.0,0.0296
Wind_63101,Las Lomas Wind Project,Wind,201.6,0.3301
Solar_63194,Delilah Solar Energy LLC,Solar,300.0,0.2122
Wind_63209,Aviator Wind,Wind,525.0,0.3692
Solar_63211,Samson Solar Energy,Solar,250.0,0.1583
Solar_63222,Impact Solar 1,Solar,198.5,0.2078
Solar_63223,Brightside,Solar,50.7,0.2116
Solar_63233,Emerald Grove,Solar,108.0,0.2709
Other_63255,2W Permian Solar Project Hybrid,Other,460.0,0.2495
Solar_63255,2W Permian Solar Project Hybrid,Solar,460.0,0.2495
Solar_63273,Wagyu,Solar,120.0,0.224
Solar_63320,Titan Solar Project,Solar,260.0,0.2544
Solar_63328,Juno Solar Project,Solar,305.6,0.2864
Solar_63329,Aragorn Solar Project,Solar,187.2,0.2183
Natural Gas_63335,HO Clarke Generating,Natural Gas,484.0,0.0791
Solar_63343,Galloway 2 Solar Farm,Solar,110.0,0.256
Solar_63351,Bluebell Solar II,Solar,115.0,0.2527
Solar_63519,Crane Solar Project,Solar,150.0,0.3086
Wind_63624,"La Chalupa, LLC",Wind,198.5,0.2551
Wind_63655,Coyote Wind LLC,Wind,242.5,0.3042
Natural Gas_63688,Topaz Generating,Natural Gas,605.0,0.1129
Wind_63738,Helena Wind,Wind,268.2,0.3193
Wind_63739,Las Majadas Wind Farm,Wind,272.6,0.3565
Solar_63764,Elm Branch Solar 1,Solar,134.7,0.2144
Solar_63769,Briar Creek Solar 1,Solar,127.0,0.1973
Solar_63797,Ellis Solar LLC,Solar,80.0,0.2355
Solar_63840,Sparta Solar,Solar,250.0,0.2075
Solar_63882,Samson Solar Energy II LLC,Solar,200.0,0.1728
Solar_63883,Samson Solar Energy III LLC,Solar,250.0,0.1269
Solar_63884,Delilah Solar Energy II LLC,Solar,310.0,0.0784
Solar_63892,Lily Solar Hybrid,Solar,201.89999999999998,0.18
Other_63892,Lily Solar Hybrid,Other,201.89999999999998,0.18
Other_63905,Azure Sky Solar,Other,316.2,0.1938
Solar_63905,Azure Sky Solar,Solar,316.2,0.1938
Solar_63985,Fort Bend Solar LLC,Solar,240.0,0.2508
Solar_64026,"ANSON Solar Center, LLC",Solar,200.0,0.2875
Solar_64075,Taygete II Energy Project,Solar,203.8,0.2553
Solar_64133,"Old 300 Solar Center, LLC",Solar,430.0,0.2394
Wind_64149,"Western Trail Wind, LLC",Wind,366.6,0.3521
Other_64164,"Azure Sky Wind Project, LLC Hybrid",Other,470.2,0.2963
Wind_64164,"Azure Sky Wind Project, LLC Hybrid",Wind,470.2,0.2963
