episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_3_rolling_reward_var,agent_RL_Agent_3_entropy,agent_RL_Agent_4_rolling_reward_var,agent_RL_Agent_4_entropy,agent_RL_Agent_5_rolling_reward_var,agent_RL_Agent_5_entropy,agent_RL_Agent_6_rolling_reward_var,agent_RL_Agent_6_entropy
58,107796902242.86195,0.7761,72701401479.81856,0.747,24629456661.50654,0.7064,8174848035.691489,0.7284,32337520648.958443,0.7151,39576985676.992134,0.7401,11880068647.641527,0.7401
59,95627778636.14159,0.7788,64091441081.47001,0.7502,20174931704.072292,0.7113,7168329828.303399,0.7316,28189009169.28077,0.7202,33741403799.682766,0.746,10454867267.556648,0.7445
60,78165941814.39325,0.7736,53002680316.18043,0.7444,16097080975.310696,0.7034,6396365382.107456,0.724,23031853368.996685,0.7201,27901667428.88202,0.7453,9893196094.635704,0.7392
61,56777254362.08318,0.7748,38032706176.28521,0.7452,11575461580.674623,0.7058,5162134363.72136,0.7304,16038522422.826689,0.7256,19728429375.04071,0.7485,8246190731.022027,0.7405
62,31192296864.074364,0.7674,21230066840.886456,0.7386,6578011719.685333,0.6985,3916600251.9511557,0.7192,8311309906.277828,0.7174,9971624070.916048,0.7475,6945178876.213319,0.7294
63,4149445266.8384714,0.7687,3395118950.562155,0.7408,3034304835.344988,0.7022,2855969148.425123,0.7189,1371523972.0723226,0.7194,2464903270.2050023,0.7457,5577348439.461502,0.7309
64,1600494620.6143084,0.7581,2056755650.333473,0.7273,3366213584.872061,0.6947,2698170912.7795215,0.7049,1637076154.5507305,0.7132,2962973400.1598864,0.7369,5711796241.076652,0.7204
65,1580102559.1901064,0.7673,2195684685.6992116,0.7426,2741874249.5564365,0.7015,1991479811.4234953,0.7152,1579463843.2029548,0.7172,2789418336.7283077,0.7426,4537889858.902906,0.7287
66,1543527857.0192175,0.7557,1671670008.134421,0.7351,1908806945.7953,0.697,1321592480.465824,0.7034,1429455333.895365,0.7122,2190423466.0659266,0.7293,3014555257.4604483,0.7152
67,1589547938.621576,0.7411,1333072696.9746497,0.7254,1599693767.9475245,0.6932,1501357484.7183836,0.6913,1752877084.816935,0.7039,1288405239.6853018,0.7183,2709658867.9551935,0.6999
68,1588106026.3322291,0.7357,1206848852.3466444,0.7213,1851851309.0148265,0.6952,1579054649.7502692,0.6873,1714138583.172404,0.7004,993974148.4067702,0.7122,2334146216.04495,0.698
69,1482939225.031233,0.7434,1273562459.992039,0.7285,1752970911.8599696,0.6932,1581688108.4490125,0.6929,2060259337.2266378,0.7045,723312274.449525,0.7192,2149900510.0078454,0.7065
70,1362291276.045918,0.7525,1309353600.434671,0.7338,1814976665.3990068,0.693,1688462011.5659945,0.701,2331629027.651608,0.7082,614018578.0139234,0.7275,2179738679.3226013,0.7142
71,1534512747.8633955,0.7581,1250150247.2013628,0.7366,1886227706.7224438,0.7,1978598219.3898075,0.7097,2492342838.6082163,0.7152,718571235.7345431,0.7376,2171135226.086312,0.7266
72,1615658523.2954824,0.755,1315775887.9076285,0.7348,1865749916.2565837,0.7,2109816988.0557125,0.7096,2703233626.598091,0.711,737597166.959031,0.7336,2117590907.2141664,0.7254
73,1757464569.3271945,0.7645,1231651332.4119825,0.7416,2097763598.7609875,0.705,2474563382.4023533,0.7174,2644417683.1738715,0.7186,847933440.4155756,0.7402,2073370276.4665337,0.7355
74,2025922988.0029285,0.7643,1249470141.0436082,0.7397,2165211078.499934,0.7091,2292379620.211538,0.722,2572527733.7203197,0.7154,1185763544.1145768,0.7397,1914962963.7858248,0.7361
75,1709641540.6147647,0.7694,1342961981.984641,0.7435,1788869501.8946545,0.7057,1928262683.1463068,0.7233,2872682555.0014124,0.7114,1088160330.5285463,0.7419,1982989646.3760006,0.7397
76,1384700520.6379905,0.7731,1410288913.8896213,0.7478,1416899972.9651456,0.7089,1377097806.8978057,0.7269,3169210850.4322567,0.7113,1032718293.9878424,0.7479,2097834480.1167424,0.7454
77,1149122759.0554605,0.7737,3005774379.8032613,0.7428,2372804502.6747313,0.7077,1924959142.8106015,0.7288,6032031890.949268,0.7115,1199057585.804016,0.7479,4356633286.976821,0.7449
78,978477679.7679386,0.7783,4316255014.884742,0.7452,3542533560.3572965,0.7141,1733906436.7599783,0.7386,9387340552.068653,0.7135,1200787714.1584067,0.7543,7068707018.82962,0.7513
79,1632098272.557097,0.7747,5291037981.199624,0.7357,6141406249.2547,0.7116,2293757778.232703,0.7325,12404509266.427603,0.7096,1749846919.8728971,0.7531,10518253977.837622,0.7471
80,2505243864.622534,0.7696,5752770164.704604,0.7325,7794265176.870189,0.709,2741923638.5509634,0.7367,13591377939.5402,0.7074,2164377997.803786,0.7508,12626290098.078758,0.7512
81,3681672746.3816752,0.7669,5209865431.9856205,0.7331,9885475860.628647,0.7073,3511040313.2299747,0.7385,13373235127.708122,0.6933,3243040330.386301,0.7444,13175134308.938814,0.7543
82,5567707603.045363,0.7637,4863494924.059027,0.7272,10280946416.7662,0.7011,3613459068.6320233,0.7334,12535737043.89394,0.695,4270531329.248339,0.7442,12592004822.04055,0.7498
83,7241543181.588984,0.7671,4722183387.454024,0.7311,10332963396.296621,0.7019,3620918194.215393,0.7392,12076725895.18801,0.7009,4756612550.124943,0.7503,12261814797.134024,0.752
84,8406621681.509827,0.7684,4531603214.403753,0.7343,9877729224.401463,0.7029,3583761457.6555157,0.7382,11416958077.828493,0.7014,5128382472.054409,0.7513,11721610386.057232,0.7515
85,9167523317.188211,0.7788,3951118777.0990114,0.7426,9088983416.880291,0.708,3344251723.1355968,0.7391,10413007895.174644,0.7048,5520162992.998945,0.7575,10898584944.127705,0.7546
86,9736364438.528484,0.7764,3672173467.6315746,0.7444,8536990145.5090065,0.7069,3071407184.7150555,0.7369,9421071571.337524,0.7037,5854375871.550954,0.7558,10018162078.629648,0.7515
87,9538161004.455395,0.7739,2793022971.228179,0.7432,6727329103.24093,0.6989,2172716574.8914537,0.7304,7325861609.265132,0.6996,5341092560.592559,0.7512,8100084631.937792,0.743
88,7751101600.662185,0.7751,2218115528.808985,0.745,3883855472.491351,0.7044,1322826041.0099535,0.7278,5192240489.454256,0.7015,3559388944.099641,0.7531,5938942289.59551,0.7438
89,5889371728.325296,0.7709,2179332825.2108755,0.7446,3121586184.2859135,0.7102,987507683.222193,0.7253,4299713637.846606,0.701,2436383310.511639,0.7476,5802222329.088297,0.7396
90,3510071358.9184766,0.7672,1932215157.869748,0.7403,2173698652.090766,0.7086,608552557.880696,0.727,3127214483.454432,0.6993,1140203386.8089952,0.7445,5228290709.5499935,0.7369
91,2082291085.506683,0.7703,3394548857.7478657,0.7435,3947290298.815673,0.7073,1953582030.0262141,0.7271,6536457217.987075,0.6975,893277863.5392226,0.7461,8483954644.245061,0.7352
92,1588852773.90377,0.766,5708203912.615523,0.7456,7535338497.396153,0.7044,3444641774.2415295,0.7279,11275107719.24871,0.6985,1630940062.731106,0.7362,13405194948.714966,0.7322
93,2011366754.9954736,0.7614,7734484958.224247,0.743,11271464052.969023,0.7071,4648802044.019428,0.7215,14896124196.701748,0.6973,2890364042.5010023,0.727,17786077797.478558,0.728
94,2629282411.681296,0.7555,8902835279.406368,0.7381,13718119175.316853,0.701,5456891138.605761,0.719,17205108360.45937,0.6914,4022104269.141039,0.7186,19628092517.711964,0.7186
95,3158441869.5148687,0.7513,7480551292.612928,0.73,13422499805.320538,0.693,4786891209.300841,0.7148,15566857252.573513,0.6947,5169134661.6876,0.716,17017288888.601728,0.7156
96,4297889190.632524,0.7515,7396102372.693457,0.7374,12693764641.730684,0.6965,4611406904.283591,0.724,15662315818.36262,0.6962,5588877693.095696,0.7151,16753159052.221882,0.7191
97,5236945628.270357,0.7522,7232917123.74363,0.7345,12380629710.697384,0.6894,4495858224.032721,0.7232,15751974573.019276,0.6905,6094770104.175043,0.709,16506768569.516733,0.7201
98,5615137225.173813,0.748,6768340245.603272,0.7283,11514716485.51716,0.682,4094882017.5633903,0.7239,14683419704.70289,0.6882,6203788669.71493,0.7075,15407777505.965473,0.7173
99,5585071565.201056,0.7544,5810724819.9751835,0.7342,10007479676.743227,0.6817,3432916282.0745554,0.7308,12636764590.091124,0.6914,6103771239.038008,0.7119,13533622133.274553,0.7244
100,5215125784.686909,0.755,4593294890.770952,0.7323,8179954046.193958,0.6804,2854099280.3909726,0.7308,10166225621.47498,0.6938,5480158932.159456,0.7124,10595084260.676441,0.724
101,4569023287.471766,0.7609,3376682607.120956,0.7332,6204413723.166709,0.6827,2244397913.920214,0.7321,7339386958.268465,0.697,4594937347.53277,0.723,7410807404.075637,0.731
102,3598748216.295322,0.7603,2784043894.7525854,0.7251,4280622183.4807506,0.6779,1779804458.3923643,0.7343,5401760871.901275,0.6901,3733947675.833497,0.7162,5485875774.511897,0.7315
103,2604411137.4009037,0.7592,2247940315.051743,0.725,3192650160.135208,0.6691,1374637093.7642446,0.7345,3665249298.9207225,0.6946,2932528246.13912,0.7211,4017370018.8027596,0.7314
104,1186961757.5642352,0.7618,1187568970.7459319,0.7266,992730143.1427329,0.6699,949842118.3878084,0.7378,912486785.0081093,0.7004,994458095.7412378,0.7212,1304936237.322001,0.7347
