episode,agent_0_rolling_reward_var,agent_1_rolling_reward_var,agent_0_entropy,agent_1_entropy
116,128566202.06080039,253291595.78126606,0.6962,0.7324
117,129948672.67353497,260586667.56747943,0.6878,0.7232
118,130345422.39284031,277344438.90414727,0.6874,0.7241
119,144020582.6868203,284215652.0005516,0.6925,0.7345
120,164009494.86618984,263042915.45157766,0.6933,0.7382
121,170335309.60937947,197572643.84903815,0.6906,0.732
122,162665680.27070352,107841809.39180683,0.6845,0.728
123,118068559.12448691,15648132.22558208,0.6818,0.7244
124,91399237.67312063,14097658.390232207,0.6824,0.7241
125,65524028.55910731,13316355.989819912,0.687,0.7257
126,47287779.86624902,153205826.55215216,0.6903,0.7275
127,39394636.56081779,283456467.45479786,0.6808,0.7143
128,38904583.01152399,350374629.11880845,0.6861,0.7171
129,39269867.22608883,395630192.02953696,0.6922,0.7275
130,34971618.75294901,429248381.4738153,0.6938,0.7299
131,28097817.028067105,461963163.28632367,0.6893,0.7198
132,23941143.869564954,469026490.19472146,0.6899,0.7205
133,39367958.78643747,489970677.6695542,0.6959,0.7254
134,56203926.95315543,475579177.0201534,0.7104,0.7356
135,70491053.63473631,426300969.4918549,0.7233,0.7468
136,78265662.66133843,371225547.3704093,0.7341,0.7613
137,85508399.74767075,294241050.3729757,0.7351,0.7687
138,110155713.89723298,204037322.02692348,0.7336,0.7697
139,109630465.64534055,75718495.57803196,0.7338,0.7682
140,109168974.11991988,207238608.6683297,0.7319,0.767
141,107520847.10944739,300917070.1039737,0.7368,0.7697
142,99389407.25143099,393603257.0339864,0.7344,0.7648
143,90051248.43354775,472452968.7375616,0.7337,0.7612
144,70128373.4749004,498555915.37035936,0.7342,0.7605
145,63271964.84518886,546651176.4436917,0.7348,0.7569
146,58008472.31930235,570049316.7616425,0.7343,0.7493
147,68082046.018969,590991498.6830995,0.7366,0.7509
148,75305782.99220254,614422871.3748082,0.7303,0.7476
149,80134779.27001446,627431144.0668136,0.7238,0.744
150,85821351.03589241,600580613.4548322,0.7121,0.7344
151,88858762.54421131,518855475.6028135,0.7102,0.7292
152,41741761.90441711,313448722.9341225,0.7074,0.7263
153,27536406.83336171,99158406.51949398,0.7068,0.7332
154,48463840.87611704,140844743.61675403,0.7099,0.7349
155,57156616.87432016,155776541.95436117,0.7018,0.7295
156,66478121.450355515,167222307.23974398,0.7027,0.7315
157,64904227.14788432,165217983.07185027,0.7028,0.7331
158,56149529.80626558,138643266.602161,0.7042,0.7344
159,50619705.276243925,116650056.89947346,0.7051,0.7331
160,49962674.34155497,86380868.11422104,0.7046,0.7304
161,61901582.26562861,76529923.34496872,0.6982,0.7246
162,71472273.43654703,66614109.02691339,0.6972,0.7224
