episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_0_total_reward,agent_0_mean_reward,agent_0_std_reward,agent_0_clip_rate,agent_0_action_entropy,agent_0_mean_bid_price,agent_0_mean_bid_qty_mw,agent_1_total_reward,agent_1_mean_reward,agent_1_std_reward,agent_1_clip_rate,agent_1_action_entropy,agent_1_mean_bid_price,agent_1_mean_bid_qty_mw
31,335,22.656919940534426,10.253628452035018,-3.643620956793556,49.6441666660611,49088.15223880597,0.7280045958024328,59538.1464231048,177.72581021822327,271.55956008212206,0.0,0.7239,27.92498880597015,28.404850746268657,58189.53997191945,173.70011931916252,293.10481483937036,0.0,0.7517,38.175360074626866,26.91231343283582
32,335,22.60075860184019,10.336872742131277,-5.69,50.59386014788681,49510.68059701493,0.7281983632783107,57335.79884733718,171.15163835026024,272.33735744636886,0.0,0.7276,28.089694029850747,28.442164179104477,59125.012471997456,176.492574543276,282.84101920450655,0.0,0.7521,38.121944029850745,27.098880597014926
33,335,23.085444980277533,10.25460287018772,-5.69,52.76477412109539,50133.292537313435,0.7252183875898562,61481.80990923029,183.52779077382175,267.04927040456374,0.0,0.7306,28.148996268656717,28.49813432835821,64201.7660633542,191.64706287568416,290.70983664899217,0.0,0.753,38.772160447761195,26.85634328358209
34,335,23.45298739864854,10.042954367074062,-2.7458211229065608,55.342565733709726,50347.05970149254,0.7232351241310194,64979.86799590093,193.96975521164458,284.0153960236576,0.0,0.7354,28.108494402985073,28.722014925373134,64664.6952441095,193.02894102719253,281.230713564608,0.0,0.7553,38.46117910447761,26.949626865671643
35,335,23.90206825055989,10.310083622943383,-4.476890234858094,50.55681455448453,51809.4,0.7197317302388557,68837.79765806196,205.4859631583939,281.2985027145221,0.0,0.7386,30.009554104477612,28.777985074626866,65651.35002736578,195.9741791861665,296.13993416262724,0.0,0.7573,42.256554104477615,26.78171641791045
36,335,30.662751472570836,41.799214468944335,-5.3733189659836835,542.83,53650.53731343283,0.6869760252624029,146175.0601176184,436.3434630376669,1735.3174570907267,0.0,0.742,31.770871268656716,28.666044776119403,113540.1931167088,338.92594960211585,825.097047531325,0.0,0.761,45.39001865671642,26.595149253731343
37,335,33.93477506324237,43.39548348569148,-4.093826754046475,542.83,55085.45671641791,0.6621735436476005,176176.59099195592,525.9002716177789,1746.7181990234803,0.0,0.7544,30.274097014925378,28.796641791044777,146577.11696076067,437.54363271868857,897.7046505561582,0.0,0.7822,42.66580037313432,26.89365671641791
38,335,36.30202307946758,43.711004243973136,-2.9955491488458548,536.7076332911987,56169.45671641791,0.6435124102567136,192801.34858171092,575.526413676749,1741.144070739643,0.0,0.7582,27.916356343283578,28.59141791044776,169175.65062670328,505.00194216926354,932.3361050742574,0.0,0.7924,39.43882462686566,26.96828358208955
39,335,37.0400501443505,43.943040392958714,-5.69,542.83,56619.99701492537,0.638196896726728,199844.4839090486,596.550698235966,1764.9691617651488,0.0,0.7655,25.42357649253731,28.871268656716417,168964.47922948204,504.37157978949864,929.632068355464,0.0,0.7955,36.93324253731343,26.83768656716418
40,335,37.11032408612203,43.759646032247225,-5.69,542.83,56608.26865671642,0.637143883361918,201541.41694188703,601.6161699757822,1753.2717299513765,0.0,0.7659,27.150753731343286,28.666044776119403,170834.83186240937,509.95472197734136,929.9791871712091,0.0,0.7942,38.76514552238806,26.725746268656717
41,335,37.34959493383805,44.02176952735432,-5.69,542.83,56256.653731343285,0.6341389250884945,206974.67566097787,617.8348527193369,1763.8394299281108,0.0,0.7608,26.797259328358216,28.666044776119403,174615.07521806512,521.2390305016869,936.633663863821,0.0,0.7933,39.084300373134326,26.800373134328357
42,335,36.83382481927385,44.11294449914396,-5.69,537.8572363798589,55835.558208955226,0.6372785338664761,207553.50600416787,619.5627044900533,1750.5354184832015,0.0,0.757,25.798194029850748,28.94589552238806,171851.57140028058,512.9897653739719,940.8332064954312,0.0,0.7938,38.56938059701493,26.40858208955224
43,335,37.443469758346566,43.91006212928228,-5.650520349130291,538.3014519973287,54993.83880597015,0.6335271072000892,208521.98366357083,622.4536825778234,1761.9511956086358,0.0,0.747,25.344315298507468,28.64738805970149,170216.0832037004,508.1077110558221,938.2697733703747,0.0,0.7827,38.125173507462684,26.44589552238806
44,335,37.45241475569247,43.92451693736381,-2.7342687449620593,539.9999247179564,54238.53134328358,0.6335261494003005,206747.2411991732,617.1559438781289,1752.6344295643735,0.0,0.747,27.17515485074627,28.759328358208954,174963.20872502058,522.2782350000614,940.0668001876018,0.0,0.7824,39.4348078358209,26.38992537313433
45,335,38.070008538189434,43.9701065782655,-5.04529153017446,542.83,53887.54029850746,0.6283462150627261,207643.2991660161,619.8307437791525,1769.882203936888,0.0,0.7384,29.15233395522388,28.386194029850746,176710.99824837103,527.4955171593165,941.1268394608484,0.0,0.7687,41.97207462686567,26.669776119402986
46,335,37.89146185939948,44.27098518191014,-1.2439555998484844,538.5974289739958,53436.841791044775,0.6296225872681076,208850.71074991766,623.4349574624408,1775.129925951915,0.0,0.7333,29.791222014925374,28.311567164179106,182123.19448200715,543.6513268119617,957.5791826722079,0.0,0.7709,43.036309701492534,26.259328358208954
47,335,38.49090372086803,43.41417949128715,-3.418870207070172,535.7905938800083,52846.18208955224,0.6259813599120347,208560.9948449668,622.5701338655725,1750.208310598124,0.0,0.7307,29.76736007462687,28.06902985074627,180591.9216365802,539.0803630942693,942.697346640747,0.0,0.7668,43.78461194029851,26.557835820895523
48,335,38.505967332709005,43.829184371318824,-1.1758676026581174,533.7962873446104,52599.75820895522,0.6259052821219603,207206.7755036649,618.5276880706415,1763.5696616722325,0.0,0.7302,30.78105037313433,27.845149253731343,183566.41675874812,547.9594530111884,953.3726765827123,0.0,0.7706,44.736623134328354,26.81902985074627
49,335,39.054586834172795,44.031756399848,-4.465148003864326,542.83,50976.31641791045,0.6208450326447982,216248.3443518738,645.5174458264889,1768.4112074114037,0.0,0.7281,29.147669776119404,28.292910447761194,189739.3047788944,566.3859844146102,946.3727632512424,0.0,0.7693,42.303326492537316,26.96828358208955
50,335,32.51384624637871,21.127740234357827,-2.409575436354003,141.2450390617289,49093.020895522386,0.6507407041220525,143806.79196153535,429.2740058553294,567.4235430583878,0.0,0.723,27.421210820895517,28.59141791044776,144437.34988220077,431.15626830507694,623.7019569495111,0.0,0.7683,39.323998134328356,26.949626865671643
51,335,29.779756448075883,16.318718232516453,-5.69,113.18196331755443,47516.26567164179,0.6705847022429859,124732.91376006967,372.33705600020795,464.6018649723134,0.0,0.7228,27.53481343283583,29.188432835820894,121754.32611722364,363.44574960365264,491.8293496680737,0.0,0.7608,38.60219589552239,26.83768656716418
52,335,28.524560137807587,15.26617853089762,-5.69,137.43380432531075,46355.020895522386,0.6817910743692616,112031.39135660086,334.42206375104735,411.7731574577622,0.0,0.7247,27.275444029850746,29.244402985074625,113338.80681806081,338.32479647182333,517.7971911205545,0.0,0.7587,38.1795,26.800373134328357
53,335,28.25552608005828,15.17620801442219,-4.751603066855214,138.07293705905997,45918.13731343284,0.6847579393404184,104347.52538534279,311.4851504040083,418.6925421148566,0.0,0.7251,27.33444962686567,28.85261194029851,109330.84953609658,326.3607448838704,527.597554393681,0.0,0.7607,38.70468656716418,26.669776119402986
54,335,29.434766832003245,16.647996829583807,-4.626727485660295,132.5391099832362,45785.35223880597,0.6749571495276093,116318.73311891427,347.2200988624307,447.21086892619167,0.0,0.7237,25.856386194029852,29.188432835820894,127692.2845018853,381.1709985130904,615.1726712830725,0.0,0.7533,36.65908208955224,26.986940298507463
55,335,28.578376817913885,17.71590797493901,-5.69,124.66877091722594,45776.931343283584,0.6795661413921446,107660.15594932863,321.3735998487422,461.20516619354925,0.0,0.7328,25.36368843283582,29.263059701492537,118222.80115395215,352.9038840416482,625.5386686922684,0.0,0.7608,36.045001865671644,26.93097014925373
56,335,29.123393692565216,17.42563620084107,-5.69,125.2089233653971,45839.33432835821,0.6759090247116792,114089.92697862841,340.5669462048609,466.1279044347694,0.0,0.7358,25.02566791044776,28.85261194029851,126512.98674395925,377.6507066983858,625.4092878257718,0.0,0.7629,37.04468097014925,26.83768656716418
57,335,30.124358705409005,17.288066058967676,-3.7782889294912185,134.4510245339522,46020.346268656715,0.6688132501681563,120255.13391993898,358.9705490147432,470.7714936329771,0.0,0.738,24.988149253731347,28.85261194029851,131438.98756128203,392.35518675009564,633.3329316219855,0.0,0.7698,37.35576865671642,26.91231343283582
58,335,30.511456521145245,17.995256677341406,-2.3531795190198346,125.69560300441628,46284.08656716418,0.664577659220315,120865.58720763684,360.7927976347368,464.9281930384192,0.0,0.7448,22.359444029850746,28.479477611940297,135323.68436955576,403.9512966255396,648.2570444487217,0.0,0.7802,34.896750000000004,26.800373134328357
59,335,30.130890461349267,18.61307131286384,-3.746813786284666,127.52369295297059,46437.04179104478,0.6674108994260419,115492.53911238672,344.7538480966768,467.1841536649541,0.0,0.7455,20.578847014925373,28.49813432835821,133082.59530324288,397.2614785171429,651.249596920648,0.0,0.7864,33.13355970149254,26.05410447761194
60,335,31.15582898253373,19.2103505267758,-5.69,129.88966516004754,46375.528358208954,0.6593742605749972,125047.74977861527,373.2768650107918,475.2588920735169,0.0,0.7449,20.720113805970147,28.53544776119403,142694.91208231292,425.95496143974003,689.3730524470932,0.0,0.7769,33.131680970149255,26.371268656716417
61,335,32.32795691203108,22.100924029815975,-3.839394276918025,159.6014312786707,46326.30447761194,0.6518038445356058,135300.28387937072,403.881444416032,511.4094356991624,0.0,0.7512,22.29151865671642,28.796641791044777,155991.48308576044,465.64621816644905,759.053142877035,0.0,0.7784,33.42516044776119,26.296641791044777
