episode,n_steps,mean_clearing_price,std_clearing_price,min_clearing_price,max_clearing_price,mean_demand_mw,mean_rho,agent_RL_Agent_0_total_reward,agent_RL_Agent_0_mean_reward,agent_RL_Agent_0_std_reward,agent_RL_Agent_0_clip_rate,agent_RL_Agent_0_action_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_0_mean_bid_price,agent_RL_Agent_0_mean_bid_qty_mw,agent_RL_Agent_1_total_reward,agent_RL_Agent_1_mean_reward,agent_RL_Agent_1_std_reward,agent_RL_Agent_1_clip_rate,agent_RL_Agent_1_action_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_1_mean_bid_price,agent_RL_Agent_1_mean_bid_qty_mw,agent_RL_Agent_2_total_reward,agent_RL_Agent_2_mean_reward,agent_RL_Agent_2_std_reward,agent_RL_Agent_2_clip_rate,agent_RL_Agent_2_action_entropy,agent_RL_Agent_2_greedy_entropy,agent_RL_Agent_2_mean_bid_price,agent_RL_Agent_2_mean_bid_qty_mw,agent_Cost Plus Markup Baseline Agent_total_reward,agent_Cost Plus Markup Baseline Agent_mean_reward,agent_Cost Plus Markup Baseline Agent_std_reward,agent_Cost Plus Markup Baseline Agent_clip_rate,agent_Cost Plus Markup Baseline Agent_action_entropy,agent_Cost Plus Markup Baseline Agent_mean_bid_price,agent_Cost Plus Markup Baseline Agent_mean_bid_qty_mw,agent_Quantile Baseline Agent_total_reward,agent_Quantile Baseline Agent_mean_reward,agent_Quantile Baseline Agent_std_reward,agent_Quantile Baseline Agent_clip_rate,agent_Quantile Baseline Agent_action_entropy,agent_Quantile Baseline Agent_mean_bid_price,agent_Quantile Baseline Agent_mean_bid_qty_mw
20,335,30.018692060354123,24.536514481002907,-3.9492288638254873,174.35364710410033,50884.28358208955,0.6801324365687897,117110.21763227835,349.5827392008309,707.6598116027734,0.0,0.7658,0.7658,41.13677798507463,27.17350746268657,100390.88057447755,299.6742703715748,660.0748060495351,0.0,0.7177,0.7177,59.83440298507463,23.42350746268657,99258.4141917685,296.2937737067717,533.7658616896985,0.0,0.7317,0.7317,18.412255597014926,22.863805970149254,175763.11495961656,524.6660148048255,1169.8873489463272,0.0,-0.0,33.685,46.875,144439.5402524947,431.16280672386483,1116.2544756828727,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
21,335,24.686436233427905,11.525184255388526,-4.542564777427478,60.688377434351985,49420.95223880597,0.7121518193568255,67658.68833386006,201.96623383241808,324.6278778163396,0.0,0.7513,0.7513,44.875981343283584,27.117537313432837,64938.6828152543,193.84681437389344,338.6022489977552,0.0,0.7017,0.7017,62.61008395522389,23.49813432835821,63935.9930057444,190.85371046490866,281.6916124113082,0.0,0.7284,0.7284,19.03804104477612,22.546641791044777,92558.80930036548,276.29495313541935,502.03213527878773,0.0,-0.0,33.685,46.875,77982.98731838576,232.78503677130075,439.7504120381634,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
22,335,23.802263282970728,10.650567488265333,-1.9295393797428435,58.275350108866576,48578.12537313433,0.7197989876667406,53458.16534398563,159.5766129671213,289.90199800076266,0.0,0.7325,0.7325,45.7961473880597,27.26679104477612,55179.991578050074,164.71639277029874,297.4767958664789,0.0,0.6733,0.6733,66.86607089552238,23.311567164179106,62459.36586244446,186.44586824610286,285.7826476375077,0.0,0.7266,0.7266,19.369643656716416,22.565298507462686,73984.50305879649,220.84926286207906,453.11325229189816,0.0,-0.0,33.685,46.875,56639.94710843878,169.07446898041425,383.3664023086285,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
23,335,24.05802359493508,10.144964824064076,-5.288276152258448,52.93102985220854,47861.09253731343,0.7190225808800365,58994.32873211654,176.10247382721354,304.2770732017864,0.0,0.73,0.73,48.78747201492537,27.117537313432837,61674.95492974864,184.10434307387652,315.19020467934865,0.0,0.6703,0.6703,67.01399813432836,24.113805970149254,58987.44999295859,176.08194027748831,280.61650103309813,0.0,0.7336,0.7336,20.054869402985076,22.882462686567163,61550.15232668355,183.73179799010015,433.1380073847609,0.0,-0.0,33.685,46.875,47920.477572609336,143.0462017092816,334.2347854321339,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
24,335,22.926002892918746,10.152710168797249,1.3200833646503298,50.83133476239135,47420.24179104478,0.7264355458844279,50904.90851742604,151.9549507982867,291.8130522658273,0.0,0.7227,0.7227,48.64398320895523,26.91231343283582,60768.514275581125,181.39855007636157,310.8946927335382,0.0,0.6687,0.6687,68.28961380597015,24.86007462686567,53671.3118314787,160.21287113874237,258.8779718703962,0.0,0.7315,0.7315,20.39249813432836,22.378731343283583,55860.970077780934,166.74916441128636,414.7911345516806,0.0,-0.0,33.685,46.875,39670.718916316204,118.42005646661553,312.448409623018,0.14925373134328357,0.4312,69.85205037313435,41.27798507462686
25,335,22.602013755841163,10.225979738737577,-3.9018439978585198,50.8715388924048,47380.00597014926,0.7283842051449593,51779.964076487115,154.56705694473766,294.2219180660196,0.0,0.7196,0.7196,49.699063432835814,27.042910447761194,56096.00793051637,167.4507699418399,299.4311293670046,0.0,0.6633,0.6633,70.35657462686568,24.39365671641791,56032.034779014415,167.2598053104908,281.5766748992972,0.0,0.7228,0.7228,20.519757462686567,22.69589552238806,55010.70876760049,164.21107094806115,404.4111148588175,0.0,-0.0,33.685,46.875,41687.95617839409,124.4416602340122,311.54840399171667,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
26,335,22.4660760515215,9.912992355962102,0.23634137724213833,48.9283312130167,47176.49552238806,0.7298194954259083,50610.601241296405,151.07642161581018,287.0306104193022,0.0,0.7171,0.7171,50.85750373134328,27.117537313432837,52803.39356534826,157.62207034432316,280.99457905908133,0.0,0.6602,0.6602,66.49798880597014,24.636194029850746,53859.89898359739,160.77581786148474,283.5975950418492,0.0,0.7244,0.7244,20.95282649253731,22.73320895522388,49877.92978090081,148.88934262955468,389.596392062953,0.0,-0.0,33.685,46.875,31993.35395983634,95.50254913383982,273.85484407608817,0.14925373134328357,0.4317,69.88839552238807,41.27798507462686
27,335,22.01522031351783,9.540694197724923,-1.0228848051213628,54.1235006329367,47177.82985074627,0.7333158899128587,46475.04715346404,138.73148404019116,250.8005815851214,0.0,0.7186,0.7186,51.59108582089553,27.080223880597014,49432.65177003249,147.56015453741043,261.6162577016881,0.0,0.6643,0.6643,65.67353731343285,24.654850746268657,49995.52981347803,149.2403875029195,257.28917683233317,0.0,0.7209,0.7209,20.953518656716415,22.807835820895523,37227.60125838541,111.12716793547884,325.46945197942176,0.0,-0.0,33.685,46.875,28755.02664759435,85.83590044058015,242.56309755575344,0.14925373134328357,0.4316,69.87476865671643,41.27798507462686
28,335,21.881958968058566,9.772696000302053,-1.8879778080922591,51.81270461894941,47410.03283582089,0.7338226300325441,44493.55853767281,132.81659264976958,256.52358847981407,0.0,0.7122,0.7122,52.46048320895521,27.136194029850746,49858.24115496157,148.83057061182558,274.3559959695196,0.0,0.6551,0.6551,66.2016958955224,24.86007462686567,50068.7093435741,149.45883386141523,255.7801418545336,0.0,0.7123,0.7123,21.336638059701492,22.938432835820894,45294.18623548846,135.20652607608494,368.93287129417234,0.0,-0.0,33.685,46.875,26753.036810418067,79.85981137438229,243.70141481679423,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
29,335,22.313996507659432,9.960596599366236,-0.23192792313497668,53.11080524768942,48201.337313432836,0.7307668303082567,53110.53792667521,158.5389191841051,283.10534483835545,0.0,0.7157,0.7157,52.269572761194034,27.117537313432837,54176.47802412171,161.72082992275136,283.3370839095388,0.0,0.6582,0.6582,62.09198694029852,25.13992537313433,50577.21772726034,150.97676933510547,274.80810142492413,0.0,0.7207,0.7207,21.16005410447761,23.292910447761194,46727.16713899921,139.48408101193795,383.39229608038306,0.0,-0.0,33.685,46.875,30502.86338064597,91.05332352431633,259.70963173192894,0.14925373134328357,0.4312,69.85205037313433,41.27798507462686
