episode,agent_RL_Agent_0_rolling_reward_var,agent_RL_Agent_0_entropy,agent_RL_Agent_0_greedy_entropy,agent_RL_Agent_1_rolling_reward_var,agent_RL_Agent_1_entropy,agent_RL_Agent_1_greedy_entropy,agent_RL_Agent_2_rolling_reward_var,agent_RL_Agent_2_entropy,agent_RL_Agent_2_greedy_entropy,agent_Cost Plus Markup Baseline Agent_rolling_reward_var,agent_Cost Plus Markup Baseline Agent_entropy,agent_Quantile Baseline Agent_rolling_reward_var,agent_Quantile Baseline Agent_entropy
72,65254422.802575864,0.7411,0.7411,187797003.94403043,0.6926,0.6926,35162079.381528884,0.7036,0.7036,159824325.1502981,-0.0,120886065.11193536,0.4312
73,66262921.24985911,0.7333,0.7333,134608910.7679698,0.685,0.685,39273873.409435585,0.6953,0.6953,145891958.36512882,-0.0,130342917.6639387,0.4312
74,96944187.59281877,0.7369,0.7369,107540143.6871133,0.6875,0.6875,54392088.224116296,0.7051,0.7051,214548933.38506067,-0.0,155800441.0747233,0.4316
75,91893844.41043979,0.7318,0.7318,126373467.6721533,0.6927,0.6927,51059126.79555706,0.7056,0.7056,243893520.45816606,-0.0,135690847.58774084,0.4317
76,82988265.58246137,0.7441,0.7441,131078304.26695317,0.6992,0.6992,42134572.113838315,0.7165,0.7165,243594454.27578637,-0.0,109117730.80127285,0.4316
77,70281852.92926857,0.7395,0.7395,128330658.19643833,0.6963,0.6963,43241933.84654273,0.7114,0.7114,205301126.45040634,-0.0,99934269.90459901,0.4312
78,64615011.44081582,0.7411,0.7411,149018937.8356952,0.7013,0.7013,57380978.53917461,0.7129,0.7129,229004402.98261788,-0.0,86871459.75103927,0.4312
79,142291131.31229523,0.7475,0.7475,313364151.4060816,0.7084,0.7084,170974570.81610215,0.7162,0.7162,531066802.04218537,-0.0,272930486.2428458,0.4312
80,209124650.24226445,0.7419,0.7419,450184072.50840163,0.7053,0.7053,307355409.67347807,0.7143,0.7143,811730011.2742267,-0.0,449460020.7595061,0.4312
81,261789995.04968262,0.7322,0.7322,568102911.2939603,0.7009,0.7009,414932809.0393791,0.7057,0.7057,1019972403.5979091,-0.0,588509404.588679,0.4316
82,266441275.00874573,0.74,0.74,619274810.0313379,0.7055,0.7055,489904833.3735271,0.7176,0.7176,1126342700.1198862,-0.0,676496389.3231883,0.4317
83,276694079.4865156,0.7446,0.7446,649802467.7432708,0.7059,0.7059,542240260.1753384,0.7201,0.7201,1235211156.9160686,-0.0,747360607.2936963,0.4316
84,279128581.22658443,0.7493,0.7493,652343572.6370428,0.7069,0.7069,559745113.3980261,0.7221,0.7221,1276970495.9901733,-0.0,756077980.5246555,0.4312
85,273747919.452358,0.7595,0.7595,654692410.4314702,0.7133,0.7133,560880100.5604423,0.7343,0.7343,1275616591.821078,-0.0,748772873.9612056,0.4312
86,255693810.91332287,0.7508,0.7508,639922703.0976557,0.7089,0.7089,504701713.4506473,0.7316,0.7316,1214663435.0897708,-0.0,653310568.4255311,0.4312
87,242978217.54448032,0.7471,0.7471,626942905.0099581,0.712,0.712,448166971.9493348,0.7318,0.7318,1149441732.1717992,-0.0,577413208.1175792,0.4312
88,159284260.43720874,0.7474,0.7474,508900495.18144155,0.7104,0.7104,324334046.04438734,0.7251,0.7251,881110056.144067,-0.0,436167825.1229924,0.4316
89,148391693.31899998,0.7459,0.7459,388259690.1237516,0.7026,0.7026,227921138.54628354,0.7227,0.7227,658870206.0171924,-0.0,389405862.34157753,0.4317
90,141616642.9589165,0.743,0.743,311131701.6853295,0.7055,0.7055,166336056.5796218,0.7227,0.7227,464255147.835462,-0.0,348189906.23380506,0.4316
91,150419957.44328964,0.7371,0.7371,245588387.24344814,0.7016,0.7016,162945734.40608934,0.7198,0.7198,357497007.29173005,-0.0,396851569.2105739,0.4312
92,281950171.64747703,0.7292,0.7292,394199442.6411502,0.6951,0.6951,255729371.13827783,0.711,0.711,698701614.8782401,-0.0,611120399.864223,0.4312
93,471507989.8107987,0.7184,0.7184,697654523.4259816,0.68,0.68,422923089.68851733,0.6999,0.6999,1324969188.215469,-0.0,912041458.1149316,0.4312
94,616764191.6655669,0.7112,0.7112,995923770.7215104,0.6751,0.6751,580272977.8008741,0.6895,0.6895,1761255381.9054375,-0.0,1260557460.4152822,0.4312
95,668799321.818979,0.7009,0.7009,1156252956.9976852,0.6653,0.6653,674246503.9387298,0.6771,0.6771,2133837402.021294,-0.0,1498063582.7270303,0.4316
