profile_id,agent_id,mean_payoff,std_err,ci_low,ci_high,n_rollouts
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1,0,73675.86827071688,39.843465649747856,73597.77507804337,73753.96146339038,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_up_1,1,64501.1584438177,53.79198647715788,64395.72615032247,64606.59073731293,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1,0,73682.33419156888,39.40900037587783,73605.09255083215,73759.5758323056,16
a0:learned_agent_0__price_down_1|a1:learned_agent_1__quantity_down_1,1,37804.79084305129,31.85897771664437,37742.34724672667,37867.23443937591,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,0,73258.44464669639,88.17378345710416,73085.62403112046,73431.26526227231,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1,1,51005.11306457591,43.42482976179352,50920.000398242795,51090.22573090903,16
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,0,73198.65124746853,90.207353066739,73021.84483545773,73375.45765947933,16
a0:learned_agent_0__quantity_up_1|a1:cost_plus_agent_1,1,150097.7309955304,126.07878536541129,149850.6165762142,150344.8454148466,16
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,0,73234.97553894662,91.97223557559286,73054.70995721845,73415.24112067478,16
a0:learned_agent_0__quantity_up_1|a1:hist_quantile_agent_1,1,81018.22131616004,113.29868559792827,80796.1558923881,81240.28673993198,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,0,73280.67793281814,88.39975662507571,73107.414409833,73453.94145580329,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_up_1,1,38477.16790252518,53.5463373046779,38372.21708140801,38582.11872364235,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,0,73245.19946234094,87.59204318661176,73073.51905769519,73416.8798669867,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__price_down_1,1,59303.73566452829,25.266586066849026,59254.21315583727,59353.258173219314,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,0,73254.78475529303,88.56558859435457,73081.1962016481,73428.37330893797,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_up_1,1,64501.95613568623,55.12565963982348,64393.90984279218,64610.00242858029,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,0,73260.64441813105,88.32397362635787,73087.5294298234,73433.75940643871,16
a0:learned_agent_0__quantity_up_1|a1:learned_agent_1__quantity_down_1,1,37804.928794213134,32.54342968786141,37741.143672024926,37868.71391640134,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1,0,44854.95778019471,64.1642640683553,44729.195822620735,44980.71973776868,16
a0:learned_agent_0__quantity_down_1|a1:learned_agent_1,1,51020.487157807176,41.92293071843896,50938.318213599036,51102.65610201532,16
a0:learned_agent_0__quantity_down_1|a1:cost_plus_agent_1,0,44808.42280730769,64.56027279995043,44681.88467261979,44934.96094199559,16
a0:learned_agent_0__quantity_down_1|a1:cost_plus_agent_1,1,150153.67792130535,124.45128521642508,149909.75340228115,150397.60244032956,16
