source,target,agent_id,from_policy_id,to_policy_id,gain_mean,gain_lcb,decision_rule,epsilon
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_down_1,21538.11131916583,21467.130656621262,conservative,0.0
a0:learned_agent_0|a1:learned_agent_1__quantity_down_1,a0:learned_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__quantity_up_1,26697.087087887438,26651.06571538302,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,learned_agent_1,cost_plus_agent_1,98958.63083211453,98679.84116948245,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1,hist_quantile_agent_1,29920.43448222817,29675.945074917814,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1,learned_agent_1__price_down_1,8255.657765385124,8168.863086851241,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1,learned_agent_1__quantity_up_1,13489.069238838572,13465.374206692746,conservative,0.0
a0:cost_plus_agent_0|a1:hist_quantile_agent_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,hist_quantile_agent_1,cost_plus_agent_1,69038.19634988636,68827.15012726086,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:learned_agent_1,1,learned_agent_1__price_up_1,learned_agent_1,12528.112531722216,12389.105682903279,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_up_1,cost_plus_agent_1,111486.74336383675,111247.36916919802,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_up_1,hist_quantile_agent_1,42448.54701395039,42217.24594942452,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__price_up_1,learned_agent_1__price_down_1,20783.77029710734,20677.61226255976,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_up_1,learned_agent_1__quantity_up_1,26017.18177056079,25863.3308388708,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__price_down_1,cost_plus_agent_1,90702.97306672942,90454.64910270981,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__price_down_1,hist_quantile_agent_1,21664.776716843044,21449.771929548468,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__price_down_1,learned_agent_1__quantity_up_1,5233.411473453448,5127.569936512152,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_up_1,cost_plus_agent_1,85469.56159327597,85178.82336583694,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_up_1,hist_quantile_agent_1,16431.3652433896,16171.694700219605,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1,1,learned_agent_1__quantity_down_1,learned_agent_1,13194.324736171387,13170.286397088781,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:cost_plus_agent_1,1,learned_agent_1__quantity_down_1,cost_plus_agent_1,112152.95556828592,111884.71354564281,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:hist_quantile_agent_1,1,learned_agent_1__quantity_down_1,hist_quantile_agent_1,43114.75921839956,42883.726655819635,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_up_1,666.2122044491716,538.4435803455605,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__price_down_1,1,learned_agent_1__quantity_down_1,learned_agent_1__price_down_1,21449.98250155651,21379.494540737953,conservative,0.0
a0:cost_plus_agent_0|a1:learned_agent_1__quantity_down_1,a0:cost_plus_agent_0|a1:learned_agent_1__quantity_up_1,1,learned_agent_1__quantity_down_1,learned_agent_1__quantity_up_1,26683.39397500996,26635.739849064572,conservative,0.0
a0:hist_quantile_agent_0|a1:learned_agent_1,a0:cost_plus_agent_0|a1:learned_agent_1,0,hist_quantile_agent_0,cost_plus_agent_0,69072.13057659048,68853.05931528211,conservative,0.0
